cod_provincia,provincia,anio,erogacion_tipo,erogaciones,total_pesos
34,Formosa,2004,Corrientes,Personal,183555010
34,Formosa,2004,Corrientes,Bienes y servicios no personales,2936925
34,Formosa,2004,Corrientes,Transferencias a la educación privada,5364508
34,Formosa,2004,Corrientes,Otras transferencias,1992200
34,Formosa,2004,De capital,De capital,1711160
34,Formosa,2005,Total,Total,282292525
34,Formosa,2005,Corrientes,Personal,237749546
34,Formosa,2005,Corrientes,Bienes y servicios no personales,6133502
34,Formosa,2005,Corrientes,Transferencias a la educación privada,8730067
34,Formosa,2005,Corrientes,Otras transferencias,5494957
34,Formosa,2005,De capital,De capital,24184453
34,Formosa,2006,Total,Total,409819491
34,Formosa,2006,Corrientes,Personal,321494782
34,Formosa,2006,Corrientes,Bienes y servicios no personales,3896779
34,Formosa,2006,Corrientes,Transferencias a la educación privada,10651994
34,Formosa,2006,Corrientes,Otras transferencias,6976617
34,Formosa,2006,De capital,De capital,66799320
34,Formosa,2007,Total,Total,612976564
34,Formosa,2007,Corrientes,Personal,451653495
34,Formosa,2007,Corrientes,Bienes y servicios no personales,7149972
34,Formosa,2007,Corrientes,Transferencias a la educación privada,14299014
34,Formosa,2007,Corrientes,Otras transferencias,9025807
34,Formosa,2007,De capital,De capital,130848276
34,Formosa,2008,Total,Total,806169993
34,Formosa,2008,Corrientes,Personal,621385220
34,Formosa,2008,Corrientes,Bienes y servicios no personales,8956163
34,Formosa,2008,Corrientes,Transferencias a la educación privada,20074442
34,Formosa,2008,Corrientes,Otras transferencias,14667053
34,Formosa,2008,De capital,De capital,141087116
34,Formosa,2009,Total,Total,1025236598
34,Formosa,2009,Corrientes,Personal,764026291
34,Formosa,2009,Corrientes,Bienes y servicios no personales,15357164
34,Formosa,2009,Corrientes,Transferencias a la educación privada,25950439
34,Formosa,2009,Corrientes,Otras transferencias,21637387
34,Formosa,2009,De capital,De capital,198265317
34,Formosa,2010,Total,Total,1236851384
34,Formosa,2010,Corrientes,Personal,967099281
34,Formosa,2010,Corrientes,Bienes y servicios no personales,21066616
34,Formosa,2010,Corrientes,Transferencias a la educación privada,30005953
34,Formosa,2010,Corrientes,Otras transferencias,32922540
34,Formosa,2010,De capital,De capital,185756994
34,Formosa,2011,Total,Total,1608734139
34,Formosa,2011,Corrientes,Personal,1311850524
34,Formosa,2011,Corrientes,Bienes y servicios no personales,28015752
34,Formosa,2011,Corrientes,Transferencias a la educación privada,47370986
34,Formosa,2011,Corrientes,Otras transferencias,3774176
